version,size,kernel,lmul,l1d-load,l1d-misses,cachemiss-rate,time
tiling_v2,256,2,1,8461962,145297,1.717,0.019326
tiling_v2,256,4,1,7410451,112507,1.518,0.011711
tiling_v2,256,8,1,6881902,74542,1.083,0.008231
tiling_v2,256,16,1,7787937,215681,2.769,0.009321
tiling_v2,512,2,1,50053675,2091403,4.178,0.392179
tiling_v2,512,4,1,41542153,1121424,2.699,0.225825
tiling_v2,512,8,1,37336097,1385686,3.711,0.188347
tiling_v2,512,16,1,44670686,1319884,2.955,0.143734
tiling_v2,1024,2,1,341313539,107499720,31.496,21.632065
tiling_v2,1024,4,1,270396784,61010550,22.563,11.91525
tiling_v2,1024,8,1,234817439,43256979,18.422,7.1229
tiling_v2,1024,16,1,293525881,125461161,42.743,6.437337
tiling_v2,2048,2,1,2468975829,892508144,36.149,181.568381
tiling_v2,2048,4,1,1903961697,551769987,28.98,101.318369
tiling_v2,2048,8,1,1624714584,972977024,59.886,67.91507
tiling_v2,2048,16,1,2088810521,1160195557,55.543,54.629911
tiling_v2,4096,2,1,18821046868,7142970158,37.952,1497.323435
tiling_v2,4096,4,1,14254170589,4414375285,30.969,838.336011
tiling_v2,4096,8,1,11968005026,7788967400,65.082,567.476495
tiling_v2,4096,16,1,15688881578,9294832247,59.245,464.737251
