version,size,kernel,lmul,l1d-load,l1d-misses,cachemiss-rate,time,speedup
tiling_v3,256,2,1.0,8461962,145297,1.717,0.019326,4.106
tiling_v3,256,2,2.0,7407462,74509,1.006,0.011365,6.982
tiling_v3,256,2,4.0,6878253,50491,0.734,0.010404,7.627
tiling_v3,256,2,8.0,6605902,31276,0.473,0.00697,11.385
tiling_v3,256,4,1.0,7410451,112507,1.518,0.011711,6.776
tiling_v3,256,4,2.0,6348307,37873,0.597,0.006817,11.64
tiling_v3,256,4,4.0,5831543,31038,0.532,0.006252,12.692
tiling_v3,256,4,8.0,7663839,29210,0.381,0.008661,9.162
tiling_v3,256,8,1.0,6881902,74542,1.083,0.008231,9.641
tiling_v3,256,8,2.0,5823436,35975,0.618,0.004908,16.168
tiling_v3,256,8,4.0,8453451,43336,0.513,0.011242,7.059
tiling_v3,256,8,8.0,8190757,32418,0.396,0.010124,7.838
tiling_v3,256,16,1.0,7787937,215681,2.769,0.009321,8.513
tiling_v3,256,16,2.0,6676966,58163,0.871,0.006941,11.432
tiling_v3,256,16,4.0,7971665,48406,0.607,0.010434,7.605
tiling_v3,256,16,8.0,8611300,41105,0.477,0.010452,7.592
tiling_v3,256,2,1.0,10566736,250234,2.368,0.028486,2.786
tiling_v3,256,4,1.0,9522680,275665,2.895,0.019411,4.088
tiling_v3,256,8,1.0,8988528,483481,5.379,0.019051,4.165
tiling_v3,256,16,1.0,11082325,430468,3.884,0.016873,4.703
tiling_v3,512,2,1.0,50053675,2091403,4.178,0.392179,1.584
tiling_v3,512,2,2.0,41536442,346736,0.835,0.205248,3.027
tiling_v3,512,2,4.0,37319878,233525,0.626,0.120697,5.147
tiling_v3,512,2,8.0,35211810,149782,0.425,0.072935,8.517
tiling_v3,512,4,1.0,41542153,1121424,2.699,0.225825,2.751
tiling_v3,512,4,2.0,33105291,316235,0.955,0.118001,5.264
tiling_v3,512,4,4.0,28893783,188098,0.651,0.065937,9.421
tiling_v3,512,4,8.0,43621339,195585,0.448,0.071255,8.718
tiling_v3,512,8,1.0,37336097,1385686,3.711,0.188347,3.298
tiling_v3,512,8,2.0,28952479,574526,1.984,0.097056,6.4
tiling_v3,512,8,4.0,49939916,621067,1.244,0.145032,4.283
tiling_v3,512,8,8.0,47846781,182649,0.382,0.083048,7.48
tiling_v3,512,16,1.0,44670686,1319884,2.955,0.143734,4.322
tiling_v3,512,16,2.0,35752262,689216,1.928,0.085684,7.25
tiling_v3,512,16,4.0,45999425,876955,1.906,0.120087,5.173
tiling_v3,512,16,8.0,51128076,775447,1.517,0.102798,6.043
tiling_v3,512,2,1.0,66970752,5052841,7.545,0.80563,0.771
tiling_v3,512,4,1.0,58386978,2863660,4.905,0.407762,1.523
tiling_v3,512,8,1.0,54177624,2593481,4.787,0.312212,1.99
tiling_v3,512,16,1.0,70966058,3908010,5.507,0.321522,1.932
tiling_v3,1024,2,1.0,341313539,107499720,31.496,21.632065,0.24
tiling_v3,1024,2,2.0,269937507,55575097,20.588,11.227758,0.462
tiling_v3,1024,2,4.0,234970250,35941992,15.296,7.04288,0.736
tiling_v3,1024,2,8.0,215856624,1501311,0.696,0.817293,6.343
tiling_v3,1024,4,1.0,270396784,61010550,22.563,11.91525,0.435
tiling_v3,1024,4,2.0,201086438,30804762,15.319,6.096186,0.85
tiling_v3,1024,4,4.0,166722444,19718705,11.827,3.897585,1.33
tiling_v3,1024,4,8.0,283097560,2100276,0.742,0.77714,6.67
tiling_v3,1024,8,1.0,234817439,43256979,18.422,7.1229,0.728
tiling_v3,1024,8,2.0,168577525,24478582,14.521,4.090779,1.267
tiling_v3,1024,8,4.0,334814189,25412316,7.59,4.444536,1.166
tiling_v3,1024,8,8.0,316868208,7237068,2.284,1.254626,4.132
tiling_v3,1024,16,1.0,293525881,125461161,42.743,6.437337,0.805
tiling_v3,1024,16,2.0,221202139,63890604,28.883,3.724243,1.392
tiling_v3,1024,16,4.0,303866104,34581564,11.381,2.395509,2.164
tiling_v3,1024,16,8.0,343024896,17041071,4.968,1.096713,4.727
tiling_v3,1024,2,1.0,479122709,152989544,31.931,31.582571,0.164
tiling_v3,1024,4,1.0,405969304,81228273,20.008,16.249782,0.319
tiling_v3,1024,8,1.0,370909031,69259321,18.673,11.165414,0.464
tiling_v3,1024,16,1.0,504632680,242673476,48.089,10.447347,0.496
tiling_v3,2048,2,1.0,2468975829,892508144,36.149,181.568381,0.225
tiling_v3,2048,2,2.0,1906564405,583534292,30.607,110.385699,0.37
tiling_v3,2048,2,4.0,1627545133,428384416,26.321,79.633243,0.513
tiling_v3,2048,2,8.0,1480909631,214007724,14.451,42.246045,0.968
tiling_v3,2048,4,1.0,1903961697,551769987,28.98,101.318369,0.404
tiling_v3,2048,4,2.0,1355910412,345296303,25.466,61.676708,0.663
tiling_v3,2048,4,4.0,1078819308,242290834,22.459,42.664506,0.958
tiling_v3,2048,4,8.0,2011911934,132298022,6.576,25.7389,1.589
tiling_v3,2048,8,1.0,1624714584,972977024,59.886,67.91507,0.602
tiling_v3,2048,8,2.0,1076249081,522236380,48.524,38.63809,1.058
tiling_v3,2048,8,4.0,2422853511,571741430,23.598,44.82339,0.912
tiling_v3,2048,8,8.0,2278226230,188091360,8.256,19.322251,2.116
tiling_v3,2048,16,1.0,2088810521,1160195557,55.543,54.629911,0.748
tiling_v3,2048,16,2.0,1511830997,600859836,39.744,32.703703,1.25
tiling_v3,2048,16,4.0,2163748584,323818379,14.966,21.789337,1.876
tiling_v3,2048,16,8.0,2487873550,176401685,7.09,16.974789,2.409
tiling_v3,2048,2,1.0,3578776228,1236013057,34.537,253.230286,0.161
tiling_v3,2048,4,1.0,3007987867,831515551,27.644,151.833651,0.269
tiling_v3,2048,8,1.0,2715604268,1770630123,65.202,110.276439,0.371
tiling_v3,2048,16,1.0,3779401782,2256247133,59.699,90.042133,0.454
tiling_v3,4096,2,1.0,18821046868,7142970158,37.952,1497.323435,0.213
tiling_v3,4096,2,2.0,14237355494,4672401779,32.818,905.813303,0.351
tiling_v3,4096,2,4.0,12029565174,3429085909,28.505,658.305404,0.483
tiling_v3,4096,2,8.0,10821033415,1753994061,16.209,366.452295,0.869
tiling_v3,4096,4,1.0,14254170589,4414375285,30.969,838.336011,0.38
tiling_v3,4096,4,2.0,9796981757,2778269603,28.358,507.286582,0.627
tiling_v3,4096,4,4.0,7600053115,1940043420,25.527,357.025595,0.891
tiling_v3,4096,4,8.0,15065648237,1067884556,7.088,213.798103,1.489
tiling_v3,4096,8,1.0,11968005026,7788967400,65.082,567.476495,0.561
tiling_v3,4096,8,2.0,7586942628,4187240306,55.19,323.722049,0.983
tiling_v3,4096,8,4.0,18343783779,4589170586,25.018,375.131584,0.848
tiling_v3,4096,8,8.0,17197677083,1515433931,8.812,160.906206,1.978
tiling_v3,4096,16,1.0,15688881578,9294832247,59.245,464.737251,0.685
tiling_v3,4096,16,2.0,11059075759,4802658695,43.427,273.54899,1.163
tiling_v3,4096,16,4.0,16264618081,2588925942,15.918,181.991377,1.749
tiling_v3,4096,16,8.0,18866599661,1420565959,7.53,141.301077,2.252
tiling_v3,4096,2,1.0,27647206716,9884723143,35.753,2117.682587,0.15
tiling_v3,4096,4,1.0,23032055668,6605325725,28.679,1253.921668,0.254
tiling_v3,4096,8,1.0,20698827742,14269685806,68.94,917.079591,0.347
tiling_v3,4096,16,1.0,29222980982,18049493950,61.765,771.262382,0.413
