version,size,kernel,lmul,unroll,l1d-load,l1d-misses,cachemiss-rate,time,speedup
reordered_tiling_v3_unrolling,256,2,2,1,7472598,72745,0.973,0.00638,12.438
reordered_tiling_v3_unrolling,256,2,2,2,7475007,72420,0.969,0.00667,11.897
reordered_tiling_v3_unrolling,256,2,2,4,7481433,75173,1.005,0.00782,10.147
reordered_tiling_v3_unrolling,256,2,2,8,7465195,72638,0.973,0.00709,11.192
reordered_tiling_v3_unrolling,256,2,2,16,7479786,73038,0.976,0.00699,11.352
reordered_tiling_v3_unrolling,512,2,2,1,41754864,418122,1.001,0.05982,10.384
reordered_tiling_v3_unrolling,512,2,2,2,41749683,434291,1.04,0.06433,9.656
reordered_tiling_v3_unrolling,512,2,2,4,41764919,429073,1.027,0.06707,9.262
reordered_tiling_v3_unrolling,512,2,2,8,41751027,428775,1.027,0.06638,9.358
reordered_tiling_v3_unrolling,512,2,2,16,41766814,432097,1.035,0.0654,9.498
reordered_tiling_v3_unrolling,1024,2,2,1,267325043,5024148,1.879,1.13529,4.566
reordered_tiling_v3_unrolling,1024,2,2,2,267106571,1227512,0.46,0.45864,11.302
reordered_tiling_v3_unrolling,1024,2,2,4,267379363,4944158,1.849,1.1797,4.394
reordered_tiling_v3_unrolling,1024,2,2,8,267383122,4976915,1.861,1.19342,4.344
reordered_tiling_v3_unrolling,1024,2,2,16,267126632,1207321,0.452,0.4714,10.996
reordered_tiling_v3_unrolling,2048,2,2,1,1873912873,4947104,0.264,3.3131,12.341
reordered_tiling_v3_unrolling,2048,2,2,2,1873525869,4368230,0.233,3.27373,12.49
reordered_tiling_v3_unrolling,2048,2,2,4,1873834013,4392673,0.234,3.53119,11.579
reordered_tiling_v3_unrolling,2048,2,2,8,1873671410,4432866,0.237,3.50401,11.669
reordered_tiling_v3_unrolling,2048,2,2,16,1873700160,4940918,0.264,3.55279,11.508
reordered_tiling_v3_unrolling,4096,2,2,1,13941282746,24583963,0.176,25.87846,12.298
reordered_tiling_v3_unrolling,4096,2,2,2,13940821812,28200022,0.202,26.85644,11.851
reordered_tiling_v3_unrolling,4096,2,2,4,13957113619,27240944,0.195,28.048,11.347
reordered_tiling_v3_unrolling,4096,2,2,8,13943423374,24915602,0.179,28.09014,11.33
reordered_tiling_v3_unrolling,4096,2,2,16,13944942901,27089600,0.194,28.38205,11.214
