version,size,kernel,lmul,l1d-load,l1d-misses,cachemiss-rate,time,speedup
reordered_tiling_v3,256,2,1,8591466,93794,1.092,0.009023,2.372
reordered_tiling_v3,256,2,2,7472598,72745,0.973,0.00638,3.355
reordered_tiling_v3,256,2,4,6911469,48594,0.703,0.00593,3.609
reordered_tiling_v3,256,2,8,6637447,47442,0.715,0.006689,3.2
reordered_tiling_v3,256,4,1,7569652,60922,0.805,0.006512,3.287
reordered_tiling_v3,256,4,2,6421776,65062,1.013,0.005121,4.179
reordered_tiling_v3,256,4,4,5866025,39611,0.675,0.004646,4.607
reordered_tiling_v3,256,4,8,7700685,30412,0.395,0.007896,2.71
reordered_tiling_v3,256,8,1,7011301,66039,0.942,0.00637,3.36
reordered_tiling_v3,256,8,2,5900927,52896,0.896,0.005038,4.248
reordered_tiling_v3,256,8,4,8539700,39127,0.458,0.011821,1.811
reordered_tiling_v3,256,8,8,8234260,28285,0.344,0.009066,2.361
reordered_tiling_v3,256,16,1,8060290,74278,0.922,0.006956,3.077
reordered_tiling_v3,256,16,2,6819927,76231,1.118,0.00932,2.296
reordered_tiling_v3,256,16,4,8033738,38965,0.485,0.010003,2.14
reordered_tiling_v3,256,16,8,8658358,39377,0.455,0.010501,2.038
reordered_tiling_v3,256,2,1/2,10830022,140654,1.299,0.014961,1.431
reordered_tiling_v3,256,4,1/2,9760213,105133,1.077,0.012091,1.77
reordered_tiling_v3,256,8,1/2,9245865,101507,1.098,0.010308,2.076
reordered_tiling_v3,256,16,1/2,11607459,326125,2.81,0.013875,1.542
reordered_tiling_v3,512,2,1,50405417,753271,1.494,0.065623,3.508
reordered_tiling_v3,512,2,2,41754864,418122,1.001,0.059818,3.848
reordered_tiling_v3,512,2,4,37466660,205246,0.548,0.053314,4.318
reordered_tiling_v3,512,2,8,35292747,248108,0.703,0.054371,4.234
reordered_tiling_v3,512,4,1,42034190,506582,1.205,0.058331,3.947
reordered_tiling_v3,512,4,2,33363621,485913,1.456,0.089161,2.582
reordered_tiling_v3,512,4,4,29031736,126100,0.434,0.032681,7.044
reordered_tiling_v3,512,4,8,43706867,108712,0.249,0.057461,4.006
reordered_tiling_v3,512,8,1,37853126,988008,2.61,0.13868,1.66
reordered_tiling_v3,512,8,2,29179037,555173,1.903,0.085938,2.679
reordered_tiling_v3,512,8,4,50089214,434947,0.868,0.145485,1.582
reordered_tiling_v3,512,8,8,47928619,199009,0.415,0.081828,2.813
reordered_tiling_v3,512,16,1,46230371,1185440,2.564,0.140519,1.638
reordered_tiling_v3,512,16,2,36538623,762161,2.086,0.109063,2.111
reordered_tiling_v3,512,16,4,46405154,750890,1.618,0.112287,2.05
reordered_tiling_v3,512,16,8,51349101,796132,1.55,0.1036,2.222
reordered_tiling_v3,512,2,1/2,67797474,754959,1.114,0.11572,1.989
reordered_tiling_v3,512,4,1/2,59412288,2210753,3.721,0.301183,0.764
reordered_tiling_v3,512,8,1/2,55229963,1880246,3.404,0.263519,0.874
reordered_tiling_v3,512,16,1/2,74093238,2219535,2.996,0.288349,0.798
reordered_tiling_v3,1024,2,1,335408080,2888606,0.861,0.606656,3.368
reordered_tiling_v3,1024,2,2,267325043,5024148,1.879,1.135291,1.8
