version,size,kernel,lmul,l1d-load,l1d-misses,cachemiss-rate,time,speedup
reordered_tiling_v3,256,2,1,8591466,93794,1.092,0.009023,8.794
reordered_tiling_v3,256,2,2,7472598,72745,0.973,0.00638,12.438
reordered_tiling_v3,256,2,4,6911469,48594,0.703,0.00593,13.381
reordered_tiling_v3,256,2,8,6637447,47442,0.715,0.006689,11.863
reordered_tiling_v3,256,4,1,7569652,60922,0.805,0.006512,12.186
reordered_tiling_v3,256,4,2,6421776,65062,1.013,0.005121,15.495
reordered_tiling_v3,256,4,4,5866025,39611,0.675,0.004646,17.08
reordered_tiling_v3,256,4,8,7700685,30412,0.395,0.007896,10.05
reordered_tiling_v3,256,8,1,7011301,66039,0.942,0.00637,12.457
reordered_tiling_v3,256,8,2,5900927,52896,0.896,0.005038,15.751
reordered_tiling_v3,256,8,4,8539700,39127,0.458,0.011821,6.713
reordered_tiling_v3,256,8,8,8234260,28285,0.344,0.009066,8.753
reordered_tiling_v3,256,16,1,8060290,74278,0.922,0.006956,11.408
reordered_tiling_v3,256,16,2,6819927,76231,1.118,0.00932,8.514
reordered_tiling_v3,256,16,4,8033738,38965,0.485,0.010003,7.933
reordered_tiling_v3,256,16,8,8658358,39377,0.455,0.010501,7.557
reordered_tiling_v3,256,2,1/2,10830022,140654,1.299,0.014961,5.304
reordered_tiling_v3,256,4,1/2,9760213,105133,1.077,0.012091,6.563
reordered_tiling_v3,256,8,1/2,9245865,101507,1.098,0.010308,7.698
reordered_tiling_v3,256,16,1/2,11607459,326125,2.81,0.013875,5.719
reordered_tiling_v3,512,2,1,50405417,753271,1.494,0.065623,9.466
reordered_tiling_v3,512,2,2,41754864,418122,1.001,0.059818,10.385
reordered_tiling_v3,512,2,4,37466660,205246,0.548,0.053314,11.652
reordered_tiling_v3,512,2,8,35292747,248108,0.703,0.054371,11.425
reordered_tiling_v3,512,4,1,42034190,506582,1.205,0.058331,10.649
reordered_tiling_v3,512,4,2,33363621,485913,1.456,0.089161,6.967
reordered_tiling_v3,512,4,4,29031736,126100,0.434,0.032681,19.008
reordered_tiling_v3,512,4,8,43706867,108712,0.249,0.057461,10.811
reordered_tiling_v3,512,8,1,37853126,988008,2.61,0.13868,4.479
reordered_tiling_v3,512,8,2,29179037,555173,1.903,0.085938,7.228
reordered_tiling_v3,512,8,4,50089214,434947,0.868,0.145485,4.27
reordered_tiling_v3,512,8,8,47928619,199009,0.415,0.081828,7.591
reordered_tiling_v3,512,16,1,46230371,1185440,2.564,0.140519,4.421
reordered_tiling_v3,512,16,2,36538623,762161,2.086,0.109063,5.696
reordered_tiling_v3,512,16,4,46405154,750890,1.618,0.112287,5.532
reordered_tiling_v3,512,16,8,51349101,796132,1.55,0.1036,5.996
reordered_tiling_v3,512,2,1/2,67797474,754959,1.114,0.11572,5.368
reordered_tiling_v3,512,4,1/2,59412288,2210753,3.721,0.301183,2.063
reordered_tiling_v3,512,8,1/2,55229963,1880246,3.404,0.263519,2.357
reordered_tiling_v3,512,16,1/2,74093238,2219535,2.996,0.288349,2.154
reordered_tiling_v3,1024,2,1,335408080,2888606,0.861,0.606656,8.545
reordered_tiling_v3,1024,2,2,267325043,5024148,1.879,1.135291,4.566
reordered_tiling_v3,1024,2,4,233583146,2642450,1.131,0.693916,7.47
reordered_tiling_v3,1024,2,8,216064544,1398454,0.647,0.487579,10.632
reordered_tiling_v3,1024,4,1,268699242,9225060,3.433,1.979382,2.619
reordered_tiling_v3,1024,4,2,200083540,2579582,1.289,0.697498,7.432
reordered_tiling_v3,1024,4,4,165942876,1612293,0.972,0.478312,10.838
reordered_tiling_v3,1024,4,8,283338656,1545278,0.545,0.617994,8.388
reordered_tiling_v3,1024,8,1,235160029,10653547,4.53,2.007892,2.582
reordered_tiling_v3,1024,8,2,166653728,5789996,3.474,1.089111,4.76
reordered_tiling_v3,1024,8,4,334293744,7828083,2.342,1.546985,3.351
reordered_tiling_v3,1024,8,8,316987865,3928133,1.239,0.760175,6.819
reordered_tiling_v3,1024,16,1,303311476,115228072,37.99,4.372232,1.186
reordered_tiling_v3,1024,16,2,225911512,57277794,25.354,2.323802,2.231
reordered_tiling_v3,1024,16,4,304907346,30375216,9.962,1.477304,3.509
reordered_tiling_v3,1024,16,8,344394178,16694306,4.847,1.006151,5.152
reordered_tiling_v3,1024,2,1/2,473174102,27608112,5.835,3.96533,1.307
reordered_tiling_v3,1024,4,1/2,405702655,19032404,4.691,3.756987,1.38
reordered_tiling_v3,1024,8,1/2,371972892,16541749,4.447,3.003024,1.726
reordered_tiling_v3,1024,16,1/2,524794463,230684483,43.957,8.624716,0.601
reordered_tiling_v3,2048,2,1,2415338107,23406685,0.969,4.685256,8.727
reordered_tiling_v3,2048,2,2,1873912873,4947104,0.264,3.313096,12.341
reordered_tiling_v3,2048,2,4,1603814718,13189960,0.822,3.489065,11.719
reordered_tiling_v3,2048,2,8,1468007854,9703561,0.661,3.756882,10.883
reordered_tiling_v3,2048,4,1,1878112869,65775442,3.502,4.329502,9.444
reordered_tiling_v3,2048,4,2,1336660924,51269177,3.836,3.223975,12.682
reordered_tiling_v3,2048,4,4,1066748014,26466663,2.481,4.890355,8.361
