version,size,kernel,lmul,l1d-load,l1d-misses,cachemiss-rate,time,speedup
reordered_tiling_v3,256,2,1,8591466,93794,1.092,0.009023,2.142
reordered_tiling_v3,256,2,2,7472598,72745,0.973,0.00638,1.781
reordered_tiling_v3,256,2,4,6911469,48594,0.703,0.00593,1.754
reordered_tiling_v3,256,2,8,6637447,47442,0.715,0.006689,1.042
reordered_tiling_v3,256,4,1,7569652,60922,0.805,0.006512,1.798
reordered_tiling_v3,256,4,2,6421776,65062,1.013,0.005121,1.331
reordered_tiling_v3,256,4,4,5866025,39611,0.675,0.004646,1.346
reordered_tiling_v3,256,4,8,7700685,30412,0.395,0.007896,1.097
reordered_tiling_v3,256,8,1,7011301,66039,0.942,0.00637,1.292
reordered_tiling_v3,256,8,2,5900927,52896,0.896,0.005038,0.974
reordered_tiling_v3,256,8,4,8539700,39127,0.458,0.011821,0.951
reordered_tiling_v3,256,8,8,8234260,28285,0.344,0.009066,1.117
reordered_tiling_v3,256,16,1,8060290,74278,0.922,0.006956,1.34
reordered_tiling_v3,256,16,2,6819927,76231,1.118,0.00932,0.745
reordered_tiling_v3,256,16,4,8033738,38965,0.485,0.010003,1.043
reordered_tiling_v3,256,16,8,8658358,39377,0.455,0.010501,0.995
reordered_tiling_v3,256,2,1/2,10830022,140654,1.299,0.014961,1.904
reordered_tiling_v3,256,4,1/2,9760213,105133,1.077,0.012091,1.605
reordered_tiling_v3,256,8,1/2,9245865,101507,1.098,0.010308,1.848
reordered_tiling_v3,256,16,1/2,11607459,326125,2.81,0.013875,1.216
reordered_tiling_v3,512,2,1,50405417,753271,1.494,0.065623,5.976
reordered_tiling_v3,512,2,2,41754864,418122,1.001,0.059818,3.431
reordered_tiling_v3,512,2,4,37466660,205246,0.548,0.053314,2.264
reordered_tiling_v3,512,2,8,35292747,248108,0.703,0.054371,1.341
reordered_tiling_v3,512,4,1,42034190,506582,1.205,0.058331,3.871
reordered_tiling_v3,512,4,2,33363621,485913,1.456,0.089161,1.323
reordered_tiling_v3,512,4,4,29031736,126100,0.434,0.032681,2.018
reordered_tiling_v3,512,4,8,43706867,108712,0.249,0.057461,1.24
reordered_tiling_v3,512,8,1,37853126,988008,2.61,0.13868,1.358
reordered_tiling_v3,512,8,2,29179037,555173,1.903,0.085938,1.129
reordered_tiling_v3,512,8,4,50089214,434947,0.868,0.145485,0.997
reordered_tiling_v3,512,8,8,47928619,199009,0.415,0.081828,1.015
reordered_tiling_v3,512,16,1,46230371,1185440,2.564,0.140519,1.023
reordered_tiling_v3,512,16,2,36538623,762161,2.086,0.109063,0.786
reordered_tiling_v3,512,16,4,46405154,750890,1.618,0.112287,1.069
reordered_tiling_v3,512,16,8,51349101,796132,1.55,0.1036,0.992
reordered_tiling_v3,512,2,1/2,67797474,754959,1.114,0.11572,6.962
reordered_tiling_v3,512,4,1/2,59412288,2210753,3.721,0.301183,1.354
reordered_tiling_v3,512,8,1/2,55229963,1880246,3.404,0.263519,1.185
reordered_tiling_v3,512,16,1/2,74093238,2219535,2.996,0.288349,1.115
reordered_tiling_v3,1024,2,1,335408080,2888606,0.861,0.606656,35.658
reordered_tiling_v3,1024,2,2,267325043,5024148,1.879,1.135291,9.89
reordered_tiling_v3,1024,2,4,233583146,2642450,1.131,0.693916,10.149
reordered_tiling_v3,1024,2,8,216064544,1398454,0.647,0.487579,1.676
reordered_tiling_v3,1024,4,1,268699242,9225060,3.433,1.979382,6.02
reordered_tiling_v3,1024,4,2,200083540,2579582,1.289,0.697498,8.74
reordered_tiling_v3,1024,4,4,165942876,1612293,0.972,0.478312,8.149
reordered_tiling_v3,1024,4,8,283338656,1545278,0.545,0.617994,1.258
reordered_tiling_v3,1024,8,1,235160029,10653547,4.53,2.007892,3.547
reordered_tiling_v3,1024,8,2,166653728,5789996,3.474,1.089111,3.756
reordered_tiling_v3,1024,8,4,334293744,7828083,2.342,1.546985,2.873
reordered_tiling_v3,1024,8,8,316987865,3928133,1.239,0.760175,1.65
reordered_tiling_v3,1024,16,1,303311476,115228072,37.99,4.372232,1.472
reordered_tiling_v3,1024,16,2,225911512,57277794,25.354,2.323802,1.603
reordered_tiling_v3,1024,16,4,304907346,30375216,9.962,1.477304,1.622
reordered_tiling_v3,1024,16,8,344394178,16694306,4.847,1.006151,1.09
reordered_tiling_v3,1024,2,1/2,473174102,27608112,5.835,3.96533,7.965
