version,size,kernel,lmul,unroll,l1d-load,l1d-misses,cachemiss-rate,time,speedup
reordered_tiling_v3_unrolling,256,2,2,1,7472598,72745,0.973,0.00638,1.0
reordered_tiling_v3_unrolling,256,2,2,2,7475007,72420,0.969,0.00667,0.957
reordered_tiling_v3_unrolling,256,2,2,4,7481433,75173,1.005,0.00782,0.816
reordered_tiling_v3_unrolling,256,2,2,8,7465195,72638,0.973,0.00709,0.9
reordered_tiling_v3_unrolling,256,2,2,16,7479786,73038,0.976,0.00699,0.913
reordered_tiling_v3_unrolling,512,2,2,1,41754864,418122,1.001,0.05982,1.0
reordered_tiling_v3_unrolling,512,2,2,2,41749683,434291,1.04,0.06433,0.93
reordered_tiling_v3_unrolling,512,2,2,4,41764919,429073,1.027,0.06707,0.892
reordered_tiling_v3_unrolling,512,2,2,8,41751027,428775,1.027,0.06638,0.901
reordered_tiling_v3_unrolling,512,2,2,16,41766814,432097,1.035,0.0654,0.915
reordered_tiling_v3_unrolling,1024,2,2,1,267325043,5024148,1.879,1.13529,1.0
reordered_tiling_v3_unrolling,1024,2,2,2,267106571,1227512,0.46,0.45864,2.475
reordered_tiling_v3_unrolling,1024,2,2,4,267379363,4944158,1.849,1.1797,0.962
reordered_tiling_v3_unrolling,1024,2,2,8,267383122,4976915,1.861,1.19342,0.951
reordered_tiling_v3_unrolling,1024,2,2,16,267126632,1207321,0.452,0.4714,2.408
reordered_tiling_v3_unrolling,2048,2,2,1,1873912873,4947104,0.264,3.3131,1.0
reordered_tiling_v3_unrolling,2048,2,2,2,1873525869,4368230,0.233,3.27373,1.012
reordered_tiling_v3_unrolling,2048,2,2,4,1873834013,4392673,0.234,3.53119,0.938
reordered_tiling_v3_unrolling,2048,2,2,8,1873671410,4432866,0.237,3.50401,0.946
reordered_tiling_v3_unrolling,2048,2,2,16,1873700160,4940918,0.264,3.55279,0.933
reordered_tiling_v3_unrolling,4096,2,2,1,13941282746,24583963,0.176,25.87846,1.0
reordered_tiling_v3_unrolling,4096,2,2,2,13940821812,28200022,0.202,26.85644,0.964
reordered_tiling_v3_unrolling,4096,2,2,4,13957113619,27240944,0.195,28.048,0.923
reordered_tiling_v3_unrolling,4096,2,2,8,13943423374,24915602,0.179,28.09014,0.921
reordered_tiling_v3_unrolling,4096,2,2,16,13944942901,27089600,0.194,28.38205,0.912
