version,size,kernel,l1d-load,l1d-misses,cachemiss-rate,time
tiling_v1,256,2,80700056,325869,0.404,0.085243
tiling_v1,256,4,38772605,95940,0.247,0.034719
tiling_v1,256,8,22590993,316649,1.402,0.03601
tiling_v1,512,2,632882859,8883809,1.404,1.562453
tiling_v1,512,4,297184458,2338460,0.787,0.426844
tiling_v1,512,8,167752852,1646727,0.982,0.31808
tiling_v1,1024,2,5034147894,271939502,5.402,63.286363
tiling_v1,1024,4,2333974672,69441400,2.975,16.744463
tiling_v1,1024,8,1297027179,34590377,2.667,6.960601
tiling_v1,2048,2,40101580799,2363913831,5.895,546.831845
tiling_v1,2048,4,18508095548,806010898,4.355,148.838092
tiling_v1,2048,8,10193411153,1047094675,10.272,79.438935
tiling_v1,4096,2,320180207418,19666305019,6.142,4606.941075
tiling_v1,4096,4,147201988844,6736349758,4.576,1238.231759
tiling_v1,4096,8,80823405494,8379869686,10.368,659.692487
