version,size,kernel,lmul,l1d-load,l1d-misses,cachemiss-rate,time,speedup
tiling_v3,256,2,1,8461962,145297,1.717,0.019326,1.107
tiling_v3,256,2,2,7407462,74509,1.006,0.011365,1.883
tiling_v3,256,2,4,6878253,50491,0.734,0.010404,2.057
tiling_v3,256,2,8,6605902,31276,0.473,0.00697,3.071
tiling_v3,256,4,1,7410451,112507,1.518,0.011711,1.828
tiling_v3,256,4,2,6348307,37873,0.597,0.006817,3.14
tiling_v3,256,4,4,5831543,31038,0.532,0.006252,3.423
tiling_v3,256,4,8,7663839,29210,0.381,0.008661,2.471
tiling_v3,256,8,1,6881902,74542,1.083,0.008231,2.6
tiling_v3,256,8,2,5823436,35975,0.618,0.004908,4.361
tiling_v3,256,8,4,8453451,43336,0.513,0.011242,1.904
tiling_v3,256,8,8,8190757,32418,0.396,0.010124,2.114
tiling_v3,256,16,1,7787937,215681,2.769,0.009321,2.296
tiling_v3,256,16,2,6676966,58163,0.871,0.006941,3.083
tiling_v3,256,16,4,7971665,48406,0.607,0.010434,2.051
tiling_v3,256,16,8,8611300,41105,0.477,0.010452,2.048
tiling_v3,256,2,1/2,10566736,250234,2.368,0.028486,0.751
tiling_v3,256,4,1/2,9522680,275665,2.895,0.019411,1.103
tiling_v3,256,8,1/2,8988528,483481,5.379,0.019051,1.123
tiling_v3,256,16,1/2,11082325,430468,3.884,0.016873,1.268
tiling_v3,512,2,1,50053675,2091403,4.178,0.392179,0.587
tiling_v3,512,2,2,41536442,346736,0.835,0.205248,1.122
tiling_v3,512,2,4,37319878,233525,0.626,0.120697,1.907
tiling_v3,512,2,8,35211810,149782,0.425,0.072935,3.156
tiling_v3,512,4,1,41542153,1121424,2.699,0.225825,1.019
tiling_v3,512,4,2,33105291,316235,0.955,0.118001,1.951
tiling_v3,512,4,4,28893783,188098,0.651,0.065937,3.491
tiling_v3,512,4,8,43621339,195585,0.448,0.071255,3.231
tiling_v3,512,8,1,37336097,1385686,3.711,0.188347,1.222
tiling_v3,512,8,2,28952479,574526,1.984,0.097056,2.372
tiling_v3,512,8,4,49939916,621067,1.244,0.145032,1.587
tiling_v3,512,8,8,47846781,182649,0.382,0.083048,2.772
tiling_v3,512,16,1,44670686,1319884,2.955,0.143734,1.602
tiling_v3,512,16,2,35752262,689216,1.928,0.085684,2.687
tiling_v3,512,16,4,45999425,876955,1.906,0.120087,1.917
tiling_v3,512,16,8,51128076,775447,1.517,0.102798,2.239
tiling_v3,512,2,1/2,66970752,5052841,7.545,0.80563,0.286
tiling_v3,512,4,1/2,58386978,2863660,4.905,0.407762,0.565
tiling_v3,512,8,1/2,54177624,2593481,4.787,0.312212,0.737
tiling_v3,512,16,1/2,70966058,3908010,5.507,0.321522,0.716
tiling_v3,1024,2,1,341313539,107499720,31.496,21.632065,0.094
tiling_v3,1024,2,2,269937507,55575097,20.588,11.227758,0.182
tiling_v3,1024,2,4,234970250,35941992,15.296,7.04288,0.29
tiling_v3,1024,2,8,215856624,1501311,0.696,0.817293,2.5
tiling_v3,1024,4,1,270396784,61010550,22.563,11.91525,0.171
tiling_v3,1024,4,2,201086438,30804762,15.319,6.096186,0.335
tiling_v3,1024,4,4,166722444,19718705,11.827,3.897585,0.524
tiling_v3,1024,4,8,283097560,2100276,0.742,0.77714,2.629
tiling_v3,1024,8,1,234817439,43256979,18.422,7.1229,0.287
tiling_v3,1024,8,2,168577525,24478582,14.521,4.090779,0.499
tiling_v3,1024,8,4,334814189,25412316,7.59,4.444536,0.46
tiling_v3,1024,8,8,316868208,7237068,2.284,1.254626,1.629
tiling_v3,1024,16,1,293525881,125461161,42.743,6.437337,0.317
tiling_v3,1024,16,2,221202139,63890604,28.883,3.724243,0.549
tiling_v3,1024,16,4,303866104,34581564,11.381,2.395509,0.853
tiling_v3,1024,16,8,343024896,17041071,4.968,1.096713,1.863
tiling_v3,1024,2,1/2,479122709,152989544,31.931,31.582571,0.065
tiling_v3,1024,4,1/2,405969304,81228273,20.008,16.249782,0.126
tiling_v3,1024,8,1/2,370909031,69259321,18.673,11.165414,0.183
tiling_v3,1024,16,1/2,504632680,242673476,48.089,10.447347,0.196
tiling_v3,2048,2,1,2468975829,892508144,36.149,181.568381,0.079
tiling_v3,2048,2,2,1906564405,583534292,30.607,110.385699,0.129
tiling_v3,2048,2,4,1627545133,428384416,26.321,79.633243,0.179
tiling_v3,2048,2,8,1480909631,214007724,14.451,42.246045,0.338
tiling_v3,2048,4,1,1903961697,551769987,28.98,101.318369,0.141
tiling_v3,2048,4,2,1355910412,345296303,25.466,61.676708,0.232
tiling_v3,2048,4,4,1078819308,242290834,22.459,42.664506,0.335
tiling_v3,2048,4,8,2011911934,132298022,6.576,25.7389,0.555
tiling_v3,2048,8,1,1624714584,972977024,59.886,67.91507,0.21
tiling_v3,2048,8,2,1076249081,522236380,48.524,38.63809,0.37
tiling_v3,2048,8,4,2422853511,571741430,23.598,44.82339,0.319
tiling_v3,2048,8,8,2278226230,188091360,8.256,19.322251,0.739
tiling_v3,2048,16,1,2088810521,1160195557,55.543,54.629911,0.261
tiling_v3,2048,16,2,1511830997,600859836,39.744,32.703703,0.437
tiling_v3,2048,16,4,2163748584,323818379,14.966,21.789337,0.655
tiling_v3,2048,16,8,2487873550,176401685,7.09,16.974789,0.841
tiling_v3,2048,2,1/2,3578776228,1236013057,34.537,253.230286,0.056
tiling_v3,2048,4,1/2,3007987867,831515551,27.644,151.833651,0.094
tiling_v3,2048,8,1/2,2715604268,1770630123,65.202,110.276439,0.129
